Name,RT,Ion_Combination,Note,Similar_Compound_List,SCL_Note
Ethane,1.5523,NA,"The available number of ions is less than 2, the compound is excluded",,
Formaldehyde,1.559,NA,"The available number of ions is less than 2, the compound is excluded",,
Propene,1.5612,"[37, 39, 40, 41]",,['Isopropyl Alcohol'],
Methyl Alcohol,1.5677,NA,"The available number of ions is less than 2, the compound is excluded",,
Methyl formate,1.5695,NA,"The available number of ions is less than 2, the compound is excluded",,
Methanethiol,1.5724,"[47, 48]",,[],
Ethylene oxide,1.5727,"[42, 43, 44]",,[],
Acetaldehyde,1.5727,"[42, 43, 44]",,['Methyl formate'],
Ethyl Chloride,1.5745,"[64, 66]",,[],
Ethanol,1.575,"[45, 46]",,['Allyl mercaptan'],
Dimethylamine,1.5753,"[42, 45]",,[],
Acetonitrile,1.5767,"[38, 39, 40, 41]",,"['Methylamine, N,N-dimethyl-']",
Ethylamine,1.5773,"[42, 45]",,[],
2-Propenal,1.5779,"[36, 38]",,[],
Propylene oxide,1.5783,"[43, 57, 58]",,[],
Propanal,1.5784,"[57, 58]",,"['Trimethylene oxide', 'Thiirane']",
"1,4-Pentadiene",1.5787,"[67, 68]",,['Isoprene'],
Ethyl formate,1.5791,"[45, 47]",,[],
"Butane, 2-methyl-",1.5798,"[43, 56]",,[],
Ethyl ether,1.5808,"[45, 74]",,[],
Isopropyl Alcohol,1.5809,"[41, 43, 45]",,"['Dimethylamine', 'Ethyl ether']",
Acetone,1.5809,"[42, 43, 58]",,[],
Furan,1.5817,"[40, 68]",,[],
Methyl propyl ether,1.5821,"[41, 74]",,[],
Isoprene,1.5821,"[67, 68]",,"['1,4-Pentadiene']",
Pentane,1.5823,"[43, 72]",,[],
"Methylamine, N,N-dimethyl-",1.5825,"[58, 59]",,[],
"Methane, iodo-",1.589445783,"[127, 142]",,[],
Dimethyl sulfide,1.600337349,"[35, 45, 47]",,[],
2-Propenenitrile,1.605783133,"[52, 53]",,[],
"1,3-Cyclopentadiene",1.616674699,"[65, 66]",,[],
"Acetic acid, methyl ester",1.633012048,"[43, 74]",,"['1,3-Dioxolane']",
Formic acid,1.633012048,"[45, 46]",,[],
Methylene chloride,1.643903614,"[84, 86]",,[],
2-Propen-1-ol,1.709253012,"[39, 57, 58]",,['2-Butanol'],
Trimethylene oxide,1.720144578,"[57, 58]",,['Propanal'],
Acetic acid ethenyl ester,1.741927711,NA,"The available number of ions is less than 2, the compound is excluded",,
Carbon disulfide,1.75826506,"[44, 76]",,[],
"Ethanamine, N-ethyl-",1.769156627,"[72, 73]",,[],
"Propanal, 2-methyl-",1.77460241,"[41, 72]",,['Butanal'],
1-Propanol,1.790939759,"[41, 42, 59]",,['Propylene oxide'],
Ethanethiol,1.81482659,"[35, 46, 47]",,[],
"1,5-Hexadiene",1.839951807,"[41, 81]",,[],
"Propanal, 2,2-dimethyl-",1.850843373,"[57, 86]",,[],
Methacrolein,1.856289157,"[41, 70]",,[],
Cyclopentane,1.86173494,"[42, 70]",,[],
"Pentane, 2-methyl-",1.872626506,"[42, 43, 71]",,[],
"Formic acid, propyl ester",1.878072289,"[47, 59]",,[],
Methyl vinyl ketone,1.905301205,"[42, 55, 70]",,[],
"1-Pentene, 2-methyl-",1.927084337,"[69, 84]",,[],
Isobutylamine,1.93253012,NA,"The available number of ions is less than 2, the compound is excluded",,
1-Hexene,1.94886747,"[69, 84]",,[],
"Pentane, 3-methyl-",1.94886747,"[41, 56, 57]",,[],
"1,3-Dioxolane",1.970650602,"[44, 45, 73]",,[],
Butanal,1.997879518,"[41, 72]",,[],
"2,3-Butanedione",2.008771084,"[42, 43, 86]",,[],
2-Butanone,2.025108434,"[43, 72]",,['Methylene chloride'],
Thiirane,2.025108434,"[59, 60]",,[],
2-Butanol,2.025108434,"[41, 45, 59]",,[],
Allyl mercaptan,2.07449,"[47, 73]",,[],
"Furan, 2-methyl-",2.11298,"[39, 43, 81, 82]",,[],
"Cyclopentene, 3-methyl-",2.12581,"[67, 82]",,[],
1-Butanamine,2.1643,NA,"The available number of ions is less than 2, the compound is excluded",,
Acetic acid,2.1643,"[43, 45, 60]",,[],
"1,3-Butadiene, 2,3-dimethyl-",2.17713,"[67, 82]",,[],
Ethyl Acetate,2.18996,"[70, 88]",,[],
"3-Buten-2-ol, 2-methyl-",2.21562,"[43, 59, 71]",,[],
"Furan, 3-methyl-",2.21562,"[39, 51, 82]",,[],
Trichloromethane,2.22845,"[35, 49]",,[],
Amylene hydrate,2.22845,"[59, 73]",,[],
Propyl mercaptan,2.24128,"[39, 76]",,[],
"Ethane, iodo-",2.24128,"[127, 156]",,[],
"Ethane, (methylthio)-",2.27977,"[61, 76]",,[],
"Cyclobutane, ethyl-",2.33109,"[42, 56, 69]",,"['1-Hexene, 4-methyl-']",
"1-Propanol, 2-methyl-",2.35675,"[42, 43, 74]",,[],
"2-Butene, 2,3-dimethyl-",2.35675,"[42, 69, 84]",,[],
n-Hexane,2.370912568,"[41, 86]",,[],
"1,3-Pentadiene, 2-methyl-, (E)-",2.38241,"[67, 79, 82]",,"['1,3-Pentadiene, 3-methyl-, (Z)-', '2,4-Hexadiene, (E,Z)-']",
Methyl propionate,2.38241,"[57, 88]",,[],
2-Butenal,2.40807,"[41, 69, 70]",,"['2-Butenal, (E)-']",
"Cyclopentane, methyl-",2.43373,"[42, 84]",,[],
"Methane, diethoxy-",2.49788,"[59, 103]",,[],
"Acetic acid, 1,1-dimethylethyl ester",2.53637,"[43, 101]",,[],
"1,3-Pentadiene, 3-methyl-, (Z)-",2.5492,"[79, 82]",,"['1,3-Pentadiene, 2-methyl-, (E)-']",
"3-Buten-2-one, 3-methyl-",2.58769,"[43, 69, 84]",,[],
4-Penten-2-ol,2.63901,"[43, 45]",,[],
"2-Butenal, (E)-",2.63901,"[39, 69, 70]",,['2-Butenal'],
Isopropyl acetate,2.66467,"[61, 87]",,[],
"Butanal, 3-methyl-",2.70316,"[71, 86]",,[],
"2,4-Hexadiene, (E,Z)-",2.72882,"[39, 82]",,"['1,3-Pentadiene, 2-methyl-, (E)-']",
"2-Buten-1-ol, (E)-",2.72882,"[71, 72]",,[],
Benzene,2.72882,"[52, 77, 78]",,[],
"1,3-Cyclohexadiene",2.74165,"[79, 80]",,[],
"2-Butanone, 3-methyl-",2.76731,"[41, 86]",,['2-Pentanone'],
1-Butanol,2.79297,"[41, 42, 43, 56]",,['n-Hexane'],
"1-Hexene, 4-methyl-",2.79297,"[41, 69, 70]",,[],
Cyclohexane-d12,2.81863,"[64, 96]",,[],
"2-Propanol, 1-methoxy-",2.81863,"[43, 45, 47]",,[],
"Butanal, 2-methyl-",2.83146,"[41, 43, 86]",,[],
"2-Propanone, 1-hydroxy-",2.86995,"[43, 74]",,[],
Cyclohexane,2.89561,"[69, 84]",,[],
"Hexane, 2-methyl-",2.89561,"[41, 85]",,[],
"Propane, 2-iodo-",2.9341,"[43, 170]",,[],
"2-Butanol, 3-methyl-",2.98542,"[55, 73]",,[],
"1,4-Dioxane",2.99825,"[43, 88]",,[],
Thiophene,2.99825,"[69, 84]",,[],
Cyclohexene,3.04957,"[39, 82]",,[],
Pyrrolidine,3.0624,"[70, 71]",,[],
1-Penten-3-one,3.07523,"[55, 84]",,[],
Methyl isobutyrate,3.11372,"[87, 102]",,[],
1-Penten-3-ol,3.11372,"[41, 57]",,"['1,4-Dioxane', 'Ethylvinyl sulfide', '2,3-Pentanedione']",
2-Pentanone,3.12655,"[41, 86]",,[],
1-Heptene,3.12655,"[56, 98]",,[],
"1-Propanethiol, 2-methyl-",3.13938,"[57, 90]",,[],
3-Pentanone,3.16504,"[57, 86]",,"['Thiophene', 'Pentanal', 'Acetoin', 'Methyl methacrylate']",
3-Pentanol,3.1907,"[41, 57, 58, 59]",,[],
"Pentane, 2,2,4-trimethyl-",3.20353,"[41, 56, 57]",,[],
"Pentane, 2-methoxy-",3.20353,"[41, 45, 59]",,['Benzene'],
"1,4-Cyclohexadiene",3.24202,"[79, 80]",,[],
"2-Pentanol, 2-methyl-",3.24202,"[59, 87]",,[],
"1-Butene, 2-(chloromethyl)-",3.25485,"[104, 106]",,[],
Ethylvinyl sulfide,3.26768,"[59, 88]",,[],
"Sulfide, allyl methyl",3.28051,"[41, 88]",,[],
