Name,RT,ion
Propene,1.5612,37
Propene,1.5612,39
Propene,1.5612,40
Propene,1.5612,41
Methanethiol,1.5724,47
Methanethiol,1.5724,48
Acetaldehyde,1.5727,44
Acetaldehyde,1.5727,43
Acetaldehyde,1.5727,42
Ethylene oxide,1.5727,44
Ethylene oxide,1.5727,43
Ethylene oxide,1.5727,42
Ethyl Chloride,1.5745,64
Ethyl Chloride,1.5745,66
Ethanol,1.575,45
Ethanol,1.575,46
Dimethylamine,1.5753,45
Dimethylamine,1.5753,42
Acetonitrile,1.5767,38
Acetonitrile,1.5767,39
Acetonitrile,1.5767,40
Acetonitrile,1.5767,41
Ethylamine,1.5773,42
Ethylamine,1.5773,45
2-Propenal,1.5779,36
2-Propenal,1.5779,38
Propylene oxide,1.5783,43
Propylene oxide,1.5783,57
Propylene oxide,1.5783,58
Propanal,1.5784,57
Propanal,1.5784,58
"1,4-Pentadiene",1.5787,67
"1,4-Pentadiene",1.5787,68
Ethyl formate,1.5791,47
Ethyl formate,1.5791,45
"Butane, 2-methyl-",1.5798,43
"Butane, 2-methyl-",1.5798,56
Ethyl ether,1.5808,45
Ethyl ether,1.5808,74
Acetone,1.5809,58
Acetone,1.5809,42
Acetone,1.5809,43
Isopropyl Alcohol,1.5809,43
Isopropyl Alcohol,1.5809,41
Isopropyl Alcohol,1.5809,45
Furan,1.5817,40
Furan,1.5817,68
Isoprene,1.5821,68
Methyl propyl ether,1.5821,41
Methyl propyl ether,1.5821,74
Isoprene,1.5821,67
Pentane,1.5823,72
Pentane,1.5823,43
"Methylamine, N,N-dimethyl-",1.5825,58
"Methylamine, N,N-dimethyl-",1.5825,59
"Methane, iodo-",1.589445783,127
"Methane, iodo-",1.589445783,142
Dimethyl sulfide,1.600337349,35
Dimethyl sulfide,1.600337349,45
Dimethyl sulfide,1.600337349,47
2-Propenenitrile,1.605783133,52
2-Propenenitrile,1.605783133,53
"1,3-Cyclopentadiene",1.616674699,65
"1,3-Cyclopentadiene",1.616674699,66
"Acetic acid, methyl ester",1.633012048,43
"Acetic acid, methyl ester",1.633012048,74
Formic acid,1.633012048,45
Formic acid,1.633012048,46
Methylene chloride,1.643903614,86
Methylene chloride,1.643903614,84
2-Propen-1-ol,1.709253012,39
2-Propen-1-ol,1.709253012,57
2-Propen-1-ol,1.709253012,58
Trimethylene oxide,1.720144578,57
Trimethylene oxide,1.720144578,58
Carbon disulfide,1.75826506,44
Carbon disulfide,1.75826506,76
"Ethanamine, N-ethyl-",1.769156627,72
"Ethanamine, N-ethyl-",1.769156627,73
"Propanal, 2-methyl-",1.77460241,41
"Propanal, 2-methyl-",1.77460241,72
1-Propanol,1.790939759,41
1-Propanol,1.790939759,42
1-Propanol,1.790939759,59
Ethanethiol,1.81482659,46
Ethanethiol,1.81482659,47
Ethanethiol,1.81482659,35
"1,5-Hexadiene",1.839951807,41
"1,5-Hexadiene",1.839951807,81
"Propanal, 2,2-dimethyl-",1.850843373,57
"Propanal, 2,2-dimethyl-",1.850843373,86
Methacrolein,1.856289157,41
Methacrolein,1.856289157,70
Cyclopentane,1.86173494,70
Cyclopentane,1.86173494,42
"Pentane, 2-methyl-",1.872626506,42
"Pentane, 2-methyl-",1.872626506,43
"Pentane, 2-methyl-",1.872626506,71
"Formic acid, propyl ester",1.878072289,47
"Formic acid, propyl ester",1.878072289,59
Methyl vinyl ketone,1.905301205,55
Methyl vinyl ketone,1.905301205,70
Methyl vinyl ketone,1.905301205,42
"1-Pentene, 2-methyl-",1.927084337,84
"1-Pentene, 2-methyl-",1.927084337,69
1-Hexene,1.94886747,69
1-Hexene,1.94886747,84
"Pentane, 3-methyl-",1.94886747,41
"Pentane, 3-methyl-",1.94886747,56
"Pentane, 3-methyl-",1.94886747,57
"1,3-Dioxolane",1.970650602,44
"1,3-Dioxolane",1.970650602,45
"1,3-Dioxolane",1.970650602,73
Butanal,1.997879518,41
Butanal,1.997879518,72
"2,3-Butanedione",2.008771084,42
"2,3-Butanedione",2.008771084,43
"2,3-Butanedione",2.008771084,86
2-Butanol,2.025108434,59
2-Butanol,2.025108434,45
2-Butanol,2.025108434,41
Thiirane,2.025108434,59
2-Butanone,2.025108434,72
2-Butanone,2.025108434,43
Thiirane,2.025108434,60
Allyl mercaptan,2.07449,47
Allyl mercaptan,2.07449,73
"Furan, 2-methyl-",2.11298,39
"Furan, 2-methyl-",2.11298,43
"Furan, 2-methyl-",2.11298,81
"Furan, 2-methyl-",2.11298,82
"Cyclopentene, 3-methyl-",2.12581,67
"Cyclopentene, 3-methyl-",2.12581,82
Acetic acid,2.1643,45
Acetic acid,2.1643,43
Acetic acid,2.1643,60
"1,3-Butadiene, 2,3-dimethyl-",2.17713,82
"1,3-Butadiene, 2,3-dimethyl-",2.17713,67
Ethyl Acetate,2.18996,88
Ethyl Acetate,2.18996,70
"3-Buten-2-ol, 2-methyl-",2.21562,43
"3-Buten-2-ol, 2-methyl-",2.21562,59
"3-Buten-2-ol, 2-methyl-",2.21562,71
"Furan, 3-methyl-",2.21562,39
"Furan, 3-methyl-",2.21562,51
"Furan, 3-methyl-",2.21562,82
Amylene hydrate,2.22845,73
Amylene hydrate,2.22845,59
Trichloromethane,2.22845,35
Trichloromethane,2.22845,49
Propyl mercaptan,2.24128,39
Propyl mercaptan,2.24128,76
"Ethane, iodo-",2.24128,127
"Ethane, iodo-",2.24128,156
"Ethane, (methylthio)-",2.27977,76
"Ethane, (methylthio)-",2.27977,61
"Cyclobutane, ethyl-",2.33109,69
"Cyclobutane, ethyl-",2.33109,42
"Cyclobutane, ethyl-",2.33109,56
"1-Propanol, 2-methyl-",2.35675,42
"1-Propanol, 2-methyl-",2.35675,43
"1-Propanol, 2-methyl-",2.35675,74
"2-Butene, 2,3-dimethyl-",2.35675,42
"2-Butene, 2,3-dimethyl-",2.35675,69
"2-Butene, 2,3-dimethyl-",2.35675,84
n-Hexane,2.370912568,41
n-Hexane,2.370912568,86
Methyl propionate,2.38241,88
"1,3-Pentadiene, 2-methyl-, (E)-",2.38241,67
"1,3-Pentadiene, 2-methyl-, (E)-",2.38241,79
"1,3-Pentadiene, 2-methyl-, (E)-",2.38241,82
Methyl propionate,2.38241,57
2-Butenal,2.40807,69
2-Butenal,2.40807,70
2-Butenal,2.40807,41
"Cyclopentane, methyl-",2.43373,42
"Cyclopentane, methyl-",2.43373,84
"Methane, diethoxy-",2.49788,59
"Methane, diethoxy-",2.49788,103
"Acetic acid, 1,1-dimethylethyl ester",2.53637,43
"Acetic acid, 1,1-dimethylethyl ester",2.53637,101
"1,3-Pentadiene, 3-methyl-, (Z)-",2.5492,82
"1,3-Pentadiene, 3-methyl-, (Z)-",2.5492,79
"3-Buten-2-one, 3-methyl-",2.58769,43
"3-Buten-2-one, 3-methyl-",2.58769,69
"3-Buten-2-one, 3-methyl-",2.58769,84
"2-Butenal, (E)-",2.63901,70
4-Penten-2-ol,2.63901,43
4-Penten-2-ol,2.63901,45
"2-Butenal, (E)-",2.63901,39
"2-Butenal, (E)-",2.63901,69
Isopropyl acetate,2.66467,87
Isopropyl acetate,2.66467,61
"Butanal, 3-methyl-",2.70316,71
"Butanal, 3-methyl-",2.70316,86
"2,4-Hexadiene, (E,Z)-",2.72882,39
"2,4-Hexadiene, (E,Z)-",2.72882,82
"2-Buten-1-ol, (E)-",2.72882,71
"2-Buten-1-ol, (E)-",2.72882,72
Benzene,2.72882,52
Benzene,2.72882,77
Benzene,2.72882,78
"1,3-Cyclohexadiene",2.74165,79
"1,3-Cyclohexadiene",2.74165,80
"2-Butanone, 3-methyl-",2.76731,41
"2-Butanone, 3-methyl-",2.76731,86
"1-Hexene, 4-methyl-",2.79297,69
"1-Hexene, 4-methyl-",2.79297,70
"1-Hexene, 4-methyl-",2.79297,41
1-Butanol,2.79297,43
1-Butanol,2.79297,56
1-Butanol,2.79297,42
1-Butanol,2.79297,41
Cyclohexane-d12,2.81863,64
Cyclohexane-d12,2.81863,96
"2-Propanol, 1-methoxy-",2.81863,43
"2-Propanol, 1-methoxy-",2.81863,45
"2-Propanol, 1-methoxy-",2.81863,47
"Butanal, 2-methyl-",2.83146,41
"Butanal, 2-methyl-",2.83146,43
"Butanal, 2-methyl-",2.83146,86
"2-Propanone, 1-hydroxy-",2.86995,43
"2-Propanone, 1-hydroxy-",2.86995,74
"Hexane, 2-methyl-",2.89561,41
"Hexane, 2-methyl-",2.89561,85
Cyclohexane,2.89561,69
Cyclohexane,2.89561,84
"Propane, 2-iodo-",2.9341,43
"Propane, 2-iodo-",2.9341,170
"2-Butanol, 3-methyl-",2.98542,55
"2-Butanol, 3-methyl-",2.98542,73
Thiophene,2.99825,84
Thiophene,2.99825,69
"1,4-Dioxane",2.99825,43
"1,4-Dioxane",2.99825,88
Cyclohexene,3.04957,39
Cyclohexene,3.04957,82
Pyrrolidine,3.0624,70
Pyrrolidine,3.0624,71
1-Penten-3-one,3.07523,55
1-Penten-3-one,3.07523,84
1-Penten-3-ol,3.11372,57
1-Penten-3-ol,3.11372,41
Methyl isobutyrate,3.11372,102
Methyl isobutyrate,3.11372,87
2-Pentanone,3.12655,41
2-Pentanone,3.12655,86
1-Heptene,3.12655,56
1-Heptene,3.12655,98
"1-Propanethiol, 2-methyl-",3.13938,57
"1-Propanethiol, 2-methyl-",3.13938,90
3-Pentanone,3.16504,57
3-Pentanone,3.16504,86
3-Pentanol,3.1907,41
3-Pentanol,3.1907,57
3-Pentanol,3.1907,58
3-Pentanol,3.1907,59
"Pentane, 2-methoxy-",3.20353,59
"Pentane, 2-methoxy-",3.20353,45
"Pentane, 2-methoxy-",3.20353,41
"Pentane, 2,2,4-trimethyl-",3.20353,57
"Pentane, 2,2,4-trimethyl-",3.20353,56
"Pentane, 2,2,4-trimethyl-",3.20353,41
"1,4-Cyclohexadiene",3.24202,79
"1,4-Cyclohexadiene",3.24202,80
"2-Pentanol, 2-methyl-",3.24202,59
"2-Pentanol, 2-methyl-",3.24202,87
"1-Butene, 2-(chloromethyl)-",3.25485,104
"1-Butene, 2-(chloromethyl)-",3.25485,106
Ethylvinyl sulfide,3.26768,59
Ethylvinyl sulfide,3.26768,88
"Sulfide, allyl methyl",3.28051,41
"Sulfide, allyl methyl",3.28051,88
"2,3-Pentanedione",3.29334,42
"2,3-Pentanedione",3.29334,100
Pentanal,3.30617,44
Pentanal,3.30617,41
Pentanal,3.30617,45
Diethyl sulfide,3.30617,35
Diethyl sulfide,3.30617,41
"Thiocyanic acid, methyl ester",3.3566,45
"Thiocyanic acid, methyl ester",3.3566,46
"Thiocyanic acid, methyl ester",3.3566,47
"Furan, 2-ethyl-",3.3754,67
"Furan, 2-ethyl-",3.3754,96
2-Heptene,3.3754,41
2-Heptene,3.3754,98
2-Pentanol,3.3754,39
2-Pentanol,3.3754,73
"Furan, 2,5-dimethyl-",3.4506,81
"Furan, 2,5-dimethyl-",3.4506,96
n-Propyl acetate,3.4694,73
n-Propyl acetate,3.4694,61
"2H-Pyran, 3,4-dihydro-",3.4694,84
n-Propyl acetate,3.4694,43
"Pentane, 1-methoxy-",3.4694,70
"Pentane, 1-methoxy-",3.4694,41
"2H-Pyran, 3,4-dihydro-",3.4694,83
"Propanoic acid, ethyl ester",3.507,75
"Propanoic acid, ethyl ester",3.507,102
"1-Hexene, 3,3-dimethyl-",3.5634,69
"1-Hexene, 3,3-dimethyl-",3.5634,97
Acetoin,3.5634,45
Acetoin,3.5634,88
Methyl methacrylate,3.5822,99
Methyl methacrylate,3.5822,100
"Propane, 1-(methylthio)-",3.601,75
"Propane, 1-(methylthio)-",3.601,90
Heptane,3.6175,100
Methyl thiolacetate,3.6175,90
Heptane,3.6175,71
Methyl thiolacetate,3.6175,43
