Name,RT,RI_msp,RI_input,Alert
Ethanol,1.575,427,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Acetonitrile,1.5767,444,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Dimethyl sulfide,1.6003373493975905,520,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Butanal,1.9978795180722893,593,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Acetic acid,2.1643,610,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Trichloromethane,2.22845,615,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1-Propanol, 2-methyl-",2.35675,625,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Butanal, 3-methyl-",2.70316,652,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Butanal, 2-methyl-",2.83146,662,The content of the retention time actually detected was not retrieved,rt_is_in_silico
1-Penten-3-one,3.07523,681,The content of the retention time actually detected was not retrieved,rt_is_in_silico
1-Penten-3-ol,3.11372,684,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Pentanal,3.30617,699,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Furan, 2-ethyl-",3.3754,703,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Propanoic acid,3.6174999999999997,700,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Butanenitrile, 2-methyl-",3.7514,723,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Ethenamine, N-methylene-",3.8266,727,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Butanenitrile, 3-methyl-",3.9017999999999997,731,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1-Butanol, 3-methyl-",3.9958,736,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1-Butanol, 2-methyl-",4.0522,739,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2-Pentenal, (E)-",4.3342,754,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Toluene,4.5034,763,The content of the retention time actually detected was not retrieved,rt_is_in_silico
1-Pentanol,4.541,765,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2-Penten-1-ol, (Z)-",4.5786,767,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2,3-Butanediol",4.9734,788,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Butanoic acid,5.4045,805,The content of the retention time actually detected was not retrieved,rt_is_in_silico
3-Hexenal,5.609999999999999,810,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Hexanal,6.313999999999999,800,The content of the retention time actually detected was not retrieved,rt_is_in_silico
2-Hexenal,7.2951,851,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"3-Hexen-1-ol, (E)-",7.3362,852,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2-Hexenal, (E)-",7.4184,854,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"3-Hexen-1-ol, (Z)-",7.5417,857,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2-Hexen-1-ol, (E)-",7.747199999999999,862,The content of the retention time actually detected was not retrieved,rt_is_in_silico
1-Hexanol,7.993799999999999,868,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Heptanal,9.36732,901,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2,4-Hexadienal, (E,E)-",9.95052,911,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Bicyclo[3.1.0]hex-2-ene, 2-methyl-5-(1-methylethyl)-",11.00028,929,The content of the retention time actually detected was not retrieved,rt_is_in_silico
4-Oxohex-2-enal,12.63324,957,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2-Heptenal, (E)-",12.691559999999999,958,The content of the retention time actually detected was not retrieved,rt_is_in_silico
